Date,Description,Category,Amount (AED),Balance (PKR)
7/1/2026,Opening Balance,-,,8500
7/1/2026,"POS Purchase - Carrefour Hypermarket, Dubai Mall",Personal Spending,-186.5,8313.5
7/2/2026,Careem Ride - Downtown to Marina,Personal Spending,-32,8281.5
7/3/2026,Bank Transfer - Family Pocket Money,Pocket Money,500,8781.5
7/4/2026,Mobile Top-up - Etisalat,Personal Spending,-50,8731.5
7/5/2026,Freelance Payment - Audit Advisory Client (Bank Transfer),Side Income,2200,10931.5
7/6/2026,POS Purchase - Talabat Food Delivery,Personal Spending,-68.25,10863.25
7/7/2026,Netflix Subscription,Personal Spending,-35,10828.25
7/8/2026,ATM Withdrawal - Emirates NBD,Misc,-400,10428.25
7/9/2026,POS Purchase - ENOC Fuel Station,Personal Spending,-150,10278.25
7/10/2026,POS Purchase - Life Pharmacy,Personal Spending,-74.1,10204.15
7/11/2026,POS Purchase - Costa Coffee,Personal Spending,-22.5,10181.65
7/12/2026,DEWA Electricity Bill Payment,Personal Spending,-310,9871.65
7/13/2026,"POS Purchase - Zara, Dubai Mall",Personal Spending,-420,9451.65
7/14/2026,Careem Ride - Marina to Office,Personal Spending,-28,9423.65
7/15/2026,Side Project Payment - Web3 Consulting Gig,Side Income,1500,10923.65
7/16/2026,POS Purchase - Spinneys Grocery,Personal Spending,-215.75,10707.9
7/17/2026,Gym Membership - Fitness First,Personal Spending,-250,10457.9
7/18/2026,Bank Service Charges,Misc,-25,10432.9
7/19/2026,POS Purchase - McDonald's Drive Thru,Personal Spending,-38,10394.9
7/20/2026,Bank Transfer - Pocket Money from Father,Pocket Money,300,10694.9
7/21/2026,POS Purchase - Amazon.ae Order,Personal Spending,-165.4,10529.5
7/22/2026,POS Purchase - Al Baik Restaurant,Personal Spending,-55,10474.5
7/23/2026,Careem Ride - Airport Drop-off,Personal Spending,-85,10389.5
7/24/2026,POS Purchase - Union Coop Groceries,Personal Spending,-198.6,10190.9
7/25/2026,Refund - Cancelled Online Order (Noon.com),Misc,120,10310.9
7/26/2026,POS Purchase - Starbucks,Personal Spending,-24.75,10286.15
7/27/2026,Internet Bill - du Home Fibre,Personal Spending,-299,9987.15
7/28/2026,Freelance Payment - AuditIQ Pro Beta Client,Side Income,1800,11787.15
7/29/2026,"POS Purchase - Cinema Tickets, VOX",Personal Spending,-95,11692.15
7/30/2026,POS Purchase - Laundry Services,Personal Spending,-40,11652.15
7/31/2026,"POS Purchase - Dinner, JBR Walk",Personal Spending,-175,11477.15
