sha256,relative_path,size_bytes,notes
f1e029f8969ac2bf1a61ceeca91c128e443bbd2d0fcd5036b77ede746e65162e,abc.tmp,23,
f1e029f8969ac2bf1a61ceeca91c128e443bbd2d0fcd5036b77ede746e65162e,Backup.rar,23,
f1e029f8969ac2bf1a61ceeca91c128e443bbd2d0fcd5036b77ede746e65162e,chrome_setup.exe,23,
f1e029f8969ac2bf1a61ceeca91c128e443bbd2d0fcd5036b77ede746e65162e,Course Files.zip,23,
f1e029f8969ac2bf1a61ceeca91c128e443bbd2d0fcd5036b77ede746e65162e,New Text Document.txt,23,
f1e029f8969ac2bf1a61ceeca91c128e443bbd2d0fcd5036b77ede746e65162e,notes_old.txt,23,
f1e029f8969ac2bf1a61ceeca91c128e443bbd2d0fcd5036b77ede746e65162e,office_setup.exe,23,
f1e029f8969ac2bf1a61ceeca91c128e443bbd2d0fcd5036b77ede746e65162e,Photos.zip,23,
f1e029f8969ac2bf1a61ceeca91c128e443bbd2d0fcd5036b77ede746e65162e,Untitled.docx,23,
f1e029f8969ac2bf1a61ceeca91c128e443bbd2d0fcd5036b77ede746e65162e,vlc.exe,23,
1346b415636e8575eaad98021d1b72601fa055f87e4120e7858e275841dca9a3,Holiday.mp4,9,
1346b415636e8575eaad98021d1b72601fa055f87e4120e7858e275841dca9a3,Lecture.mp4,9,
